katafxfc,4,Andrés Iniesta-Xavi-Sergio Busquets-Gerard Piqué
tikikvfc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Lionel Messi,Andrés Iniesta-Xavi-Sergio Busquets-Álex Pérez-Iago Herrerín-Lionel Messi-Esteban Granero
takamrfc,4,8,Andrés Iniesta-Xavi-Sergio Busquets-Javier Mascherano,Andrés Iniesta-Xavi-Sergio Busquets-Rubén-Fidel-Guilherme Siqueira-Javier Mascherano-Éver Banega
takamtfc,4,9,Andrés Iniesta-Xavi-Sergio Busquets-Daniel Alves,Andrés Iniesta-Xavi-Sergio Busquets-Hernán Pérez-Óscar de Marcos-Papa Diop-Óscar de Marcos-Andreu Fontàs-Daniel Alves
tikildfc,4,10,Andrés Iniesta-Xavi-Sergio Busquets-Sandro Ramírez,Andrés Iniesta-Xavi-Sergio Busquets-Carlos Clerc-Jesús Fernández-Alfredo Ortuño-Shkodran Mustafi-Léo Baptistão-Sandro Ramírez-Pape Diakhaté
takamyfc,4,6,Andrés Iniesta-Xavi-Sergio Busquets-Thomas Vermaelen,Andrés Iniesta-Xavi-Sergio Busquets-Nacho Fernández-Gerard Deulofeu-Thomas Vermaelen
takanhfc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Sergi Roberto,Andrés Iniesta-Xavi-Sergio Busquets-López Silva-Álex Pérez-Vicente Guaita-Sergi Roberto
tikilufc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Claudio Bravo,Andrés Iniesta-Xavi-Sergio Busquets-Unai López-Claudio Bravo-Ezequiel Rescaldani-Corona
tikilvfc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Pedro,Andrés Iniesta-Xavi-Sergio Busquets-Karim Yoda-Unai López-Paco Alcácer-Pedro
takaobfc,5,10,Andrés Iniesta-Xavi-Sergio Busquets-Munir El Haddadi-Thomas Vermaelen,Andrés Iniesta-Xavi-Sergio Busquets-Edgar Méndez-Álex Pérez-Iván López-Munir El Haddadi-Thomas Vermaelen-Sofiane Feghouli-Nacho Martínez
tikimqfc,4,9,Andrés Iniesta-Xavi-Sergio Busquets-Marc-André ter Stegen,Andrés Iniesta-Xavi-Sergio Busquets-López Silva-Julián-Aleksandar Pantić-Imanol Agirretxe-Javier Hernández-Marc-André ter Stegen
tikimtfc,4,5,Andrés Iniesta-Xavi-Sergio Busquets-Martín Montoya,Andrés Iniesta-Xavi-Sergio Busquets-Juanmi-Martín Montoya
tikinbfc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Douglas,Andrés Iniesta-Xavi-Sergio Busquets-Raúl Albentosa-Douglas-Michael Krohn-Dehli-Alfreð Finnbogason
tikincfc,4,6,Andrés Iniesta-Xavi-Sergio Busquets-Rafinha,Andrés Iniesta-Xavi-Sergio Busquets-Joseba Zaldúa-Rafinha-Borja Ekiza
tikindfc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Sergi Roberto,Andrés Iniesta-Xavi-Sergio Busquets-Álex Pérez-Sergi Roberto-Pablo Insúa-Toché
takaoxfc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Thomas Vermaelen,Andrés Iniesta-Xavi-Sergio Busquets-Karim Yoda-Éver Banega-Thomas Vermaelen-Beto
tikinnfc,4,8,Andrés Iniesta-Xavi-Sergio Busquets-Marc Bartra,Andrés Iniesta-Xavi-Sergio Busquets-Edgar Méndez-Mario-Alexis-Marc Bartra-Paco Alcácer
takapufc,4,6,Andrés Iniesta-Xavi-Sergio Busquets-Claudio Bravo,Andrés Iniesta-Xavi-Sergio Busquets-Fede Vico-Jesús Gámez-Claudio Bravo
takapwfc,5,8,Andrés Iniesta-Xavi-Sergio Busquets-Rafinha-Ivan Rakitić,Andrés Iniesta-Xavi-Sergio Busquets-Álex Pérez-Uxío Marcos-Coke-Rafinha-Ivan Rakitić
tikioufc,4,5,Andrés Iniesta-Xavi-Sergio Busquets-Ivan Rakitić,Andrés Iniesta-Xavi-Sergio Busquets-Ivan Rakitić-Hélder Postiga
takaqefc,4,11,Andrés Iniesta-Xavi-Sergio Busquets-Daniel Alves,Andrés Iniesta-Xavi-Sergio Busquets-David Vázquez-Abel Gómez-Xisco-José Antonio Reyes-Sergio Escudero-Cristian Herrera-Cani-Daniel Alves
tikipdfc,4,10,Andrés Iniesta-Xavi-Sergio Busquets-Xavi,Andrés Iniesta-Xavi-Sergio Busquets-Álex Pérez-Mario Pašalić-Pedro Mosquera-Raúl Rodríguez-Daniel Carriço-Xavi-Ivan Cavaleiro
tikipefc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Neymar,Andrés Iniesta-Xavi-Sergio Busquets-Thomas Partey-Borja Ekiza-Pedro León-Neymar
takaqqfc,4,11,Andrés Iniesta-Xavi-Sergio Busquets-Jérémy Mathieu,Andrés Iniesta-Xavi-Sergio Busquets-Álex Pérez-Wellington Silva-Abdoulaye Ba-Daniel Larsson-Luis Fariña-Juan Francisco Torres-Jérémy Mathieu-Papa Diop
takarbfc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Marc Bartra,Andrés Iniesta-Xavi-Sergio Busquets-Álex Pérez-Sebastián Cristóforo-Javier Espinosa-Marc Bartra
takarifc,4,9,Andrés Iniesta-Xavi-Sergio Busquets-Adriano,Andrés Iniesta-Xavi-Sergio Busquets-Unai López-Adriano-Raúl Jiménez-Xisco-Augusto Fernández-Ángel
takarofc,4,6,Andrés Iniesta-Xavi-Sergio Busquets-Adriano,Andrés Iniesta-Xavi-Sergio Busquets-Nacho Fernández-Licá-Adriano
takarqfc,4,4,Andrés Iniesta-Xavi-Sergio Busquets-Thomas Vermaelen,Andrés Iniesta-Xavi-Sergio Busquets-Thomas Vermaelen
tikiqefc,4,8,Andrés Iniesta-Xavi-Sergio Busquets-Thomas Vermaelen,Andrés Iniesta-Xavi-Sergio Busquets-Héctor Moreno-Sami Khedira-Ivan Cavaleiro-Thomas Vermaelen-Felipe Mattioni
tikiqffc,4,9,Andrés Iniesta-Xavi-Sergio Busquets-Sergi Roberto,Andrés Iniesta-Xavi-Sergio Busquets-Àlex Moreno-Quique-Toché-Sergi Roberto-Miguel Torres-Tito
tikiqgfc,4,6,Andrés Iniesta-Xavi-Sergio Busquets-Jordi Masip,Andrés Iniesta-Xavi-Sergio Busquets-Jordi Masip-Gerard Deulofeu-Nicolás Pareja
tikiqifc,4,10,Andrés Iniesta-Xavi-Sergio Busquets-Martín Montoya,Andrés Iniesta-Xavi-Sergio Busquets-Karim Yoda-Álex Pérez-Javi Lara-Morales-Gorka Iraizoz-Martín Montoya-Dani Estrada
tikirafc,4,6,Andrés Iniesta-Xavi-Sergio Busquets-Lionel Messi,Andrés Iniesta-Xavi-Sergio Busquets-Karim Yoda-Lionel Messi-Bojan Jokić
tikirkfc,4,8,Andrés Iniesta-Xavi-Sergio Busquets-Marc Bartra,Andrés Iniesta-Xavi-Sergio Busquets-Fran Vélez-Roberto Chen-Abel Gómez-Moi Gómez-Marc Bartra
tikirmfc,4,8,Andrés Iniesta-Xavi-Sergio Busquets-Sergio Busquets,Andrés Iniesta-Xavi-Sergio Busquets-Moi-Toño-Sergio Busquets-Mateo Musacchio-Vicente Iborra
